	I	0			    687
	P	40			    345
	PB	120			    7584
	PB	360			    4513
	PB	440			    6117
	PB	760			    5756
	PB	840			    6036
	PB	1080			6470
	PB	1240			6258
	PB	1480			5731
	PB	1560			6548
	P	1720			1943
	P	1800			3778
	PB	2040			5884
	PB	2120			6250
	PB	2440			6456
	PB	2520			6609
	PB	2840			5592
	P	2880			1626
	P	2920			3440
	PB	3160			6488
	PB	3320			5707
	PB	3480			6643
	PB	3720			6717
	PB	3960			5851
	PB	4040			5563
	P	4200			1681
	P	4240			3263
	P	4360			2949
	P	4440			2859
	PB	4600			7450
	PB	4920			6001
	PB	5000			6065
	PB	5240			6993
	PB	5480			5931
	PB	5560			7063
	PB	5960			5774
	PB	6040			6930
	PB	6280			7113
	PB	6440			5939
	PB	6680			6880
	PB	6840			7055
	PB	7160			7008
	PB	7240			7159
	PB	7640			7018
	PB	7720			6390
	PB	7960			5967
	PB	8120			5792
	PB	8360			6958
	PB	8520			5736
	PB	8760			5931
	PB	8840			6017
	PB	9160			6130
	PB	9240			6402
	PB	9560			6955
	PB	9640			6381
	PB	9960			7787
	PB	10120			6547
	PB	10360			7803
	PB	10600			7110
	PB	10840			6717
	PB	11000			6071
	PB	11240			6485
	PB	11400			6019
	PB	11640			6477
	PB	11800			6190
	PB	12040			6667
	PB	12200			6013
	PB	12440			6445
	PB	12600			6278
	PB	12760			6619
	P	12920			2844
	P	13000			2885
	PB	13160			6214
	P	13280			3010
	P	13360			3325
	PB	13600			6377
	PB	13760			6346
	P	13880			2446
	P	13960			3172
	P	14040			3352
	P	14160			3357
	PB	14400			6674
	PB	14560			6228
	P	14680			2506
	P	14760			2979
	PB	14920			6101
	PB	15160			7096
	P	15240			2382
	P	15320			3475
	P	15440			3599
	P	15560			3410
	P	15640			3135
	P	15760			3200
	P	15840			3261
	P	15960			3123
	P	16040			3110
	P	16160			3111
	P	16240			3096
	P	16320			3229
	P	16440			3253
	P	16560			3056
	P	16640			3078
	P	16720			3256
	P	16840			3319
	P	16920			3206
	P	17040			3475
	P	17160			3212
	P	17240			3144
	P	17360			3210
	P	17440			3314
	P	17560			3250
	P	17640			3167
	P	17760			3280
	P	17840			3036
	P	17960			3219
	P	18040			2968
	P	18160			3309
	P	18240			3025
	P	18320			3218
	P	18440			3261
	P	18560			2344
	PB	18640			4948
	PB	18880			5727
	PB	19040			5796
	PB	19200			5851
	PB	19440			6053
	PB	19600			6514
	PB	19840			6593
	PB	20000			6081
	PB	20240			5826
	PB	20320			5558
	PB	20560			6103
	PB	20720			6047
	PB	20960			6876
	P	21040			8117
	P	21320			3626
	P	21400			3183
	P	21520			3239
	P	21600			3485
	P	21720			3525
	P	21840			3410
	P	21960			3293
	P	22040			3336
	P	22160			3131
	P	22240			3390
	P	22360			3457
	P	22480			3457
	P	22560			1714
	P	22640			4574
	P	22760			3510
	P	22880			3484
	P	23000			3408
	P	23080			3498
	P	23200			3724
	P	23320			3605
	P	23440			3362
	P	23520			3452
	P	23640			3356
	P	23760			3403
	P	23840			3643
	P	23960			3917
	P	24080			4047
	P	24200			3845
	P	24320			3623
	P	24440			3657
	P	24560			3456
	P	24680			3335
	P	24760			3192
	P	24880			1840
	P	24920			1683
	PB	25080			5256
	PB	25240			5403
	PB	25400			6379
	PB	25640			6148
	PB	25800			6075
	PB	26040			6596
	PB	26200			5910
	PB	26360			5886
	PB	26600			6650
	PB	26760			6108
	PB	27000			6421
	PB	27160			5820
	PB	27320			6410
	P	27440			8300
	P	27720			2836
	PB	27880			5721
	PB	28120			6102
	PB	28200			5703
	PB	28520			6532
	PB	28600			5860
	PB	28920			6467
	PB	29000			5887
	PB	29240			6653
	PB	29400			6363
	PB	29640			6682
	PB	29880			6508
	PB	30040			6248
	P	30160			2599
	P	30240			3834
	PB	30480			5003
	PB	30560			4948
	PB	30720			6165
	PB	30960			6701
	PB	31120			5814
	PB	31360			6468
	PB	31520			5828
	PB	31760			6291
	PB	31840			5627
	PB	32160			7167
	PB	32240			5647
	PB	32560			7224
	PB	32720			6294
	PB	32880			6046
	PB	33120			6497
	PB	33280			6078
	P	33400			2758
	P	33480			3533
	PB	33720			6439
	PB	33880			6233
	PB	34120			6167
	PB	34280			6365
	PB	34520			6496
	PB	34680			6019
	PB	34840			6507
	PB	35080			6362
	PB	35240			6404
	PB	35480			6730
	P	35600			2691
	P	35680			2743
	PB	35840			6512
	PB	36080			6253
	PB	36240			6111
	PB	36480			6696
